Original Part,description,Alternative Part,description.1
BFB-00039,Taptite M3x8    Ck Kk  SV  FAB,BFB-00012,M3x8            Ck Kk  SV  FAB
HZZ-00200,SMDtransf MCP W4414.5 120-0897A7     WIT,HZZ-00223,SMDtransf MCP 124-3616 T2206C
HZZ-00202,SMDtransf anode W4513.4 dry-pack  WIT,HZZ-00224,SMDtransf Anode 124-3615 T2206C
HZZ-00201,SMDtransf anode W4415.8 drypack WIT,HZZ-00225,SMDtransf Anode   124-3617 T2206C
HZZ-00199,SMDtransf Zenith W4648.5 120-1248A3 WIT,HZZ-00226,SMDtransf ATGv3  124-3614
KSI-00129,#SMD  10nF       10%   50V  X7R 0603 EPC,KPH-00464,SMD  10nF       10%   50V  X7R 0603 YAG
TSG-00054,#Trans  BD244C              SGS,TOZ-00053,Trans  BD244CG             ONS
TSG-00059,#Trans  2N2222A             TO-18    STM,TM8-00003,verwijderen
TIV-00030,#Profet ITS436L2 TO-220AB/5 INF,TIV-00059,#Profet BTS432E2 TO-220AB/5 INF
TIV-00012,#Profet BTS410E2 TO-220AB/5 INF,TIV-00059,#Profet BTS432E2 TO-220AB/5 INF
CET-00002,#SMDheader  2P str  mle    ETE,CET-00005,SMDheader  2P str  mle    ETE
KVR-00030,SMD 470nF        5%   50V  X7R 1812 VIS,KKT-00246,SMD 470nF        5%   50V  X7R 1812 KEM
KVH-00276,Elco    220uF 20%  40V R=ax 10x18   VIS,KPH-00177,Elco    220uF 20%  40V R=ax          VIS
HWO-00001,SMDethernettrafo 7490100118         WUR,HPJ-00008,SMDethernettrafo H1267NLT        PUL
IAP-00040,#Ic sock  68P 1-822473-6    AMP,CFM-00163,#Ic sock  68P 54020-68030LF    FCI
IAP-00054,#Ic sock  44P PLCC 822473-4 AMP,CFM-00164,Ic sock  44P PLCC 54020-44030LF   FCI
KSI-00336,#MKP     1nF  250V R=4e  Y2 EPC,KE13-00019,MKP     1nF  300V R=4e  Y2 EPC
IPH-00306,#Ic PCF8574P                NXP,ITI-00885,Ic PCF8574N                TI
KVH-00181,Elco    1mF  20%  35V R=2e     VIS,KNG-00048,Elco 1000uF  35V  20%  R=2e     NIC
KSI-00076,#SMD  22pF        5%   50V  C0G 0603 EPC,KYA-00007,SMD  22pF        5%   50V  C0G 0603 YAG
IXL-00022,# Ic XC17S50XL         DIL-8 XIL,IXL-00041,#Ic XC17S50-APD8C     DIP-8 XIL
ISG-00519,#Ic TS555CN timer   DIP-8   STM,INS-00225,IC LM555CN            DIL8  TI
UZZ-01308,#SSD 120G SATA -40º/+85ºC            ATP,UZZ-01398,SSD 120G SATA -40º/+85ºC            ATP
WVH-00115,SMD  23K7     1%   0.1W 0603  50ppm VIS,WYA-00318,SMD  23K7     1%   0.1W 0603 100ppm YAG
CM8-00020,FC header 20P 2r mle str     MUL,CAH-00078,Conn  20P 2r R=1e T821120A1S100CEU AMP
BZZ-01101,Heat shrink 3.2mm red 1.6mm  PRO,BTB-00004,Heat shrink 3.2mm red 1.6mm   THO
FSI-00109,SMDcoil  47uH  5%          1210      EPC,FSI-00139,SMDcoil  47uH 10%          1210      EPC
FSI-00109,SMDcoil  47uH  5%          1210      EPC,FSI-00139,SMDcoil  47uH 10%          1210      EPC
FSI-00109,SMDcoil  47uH  5%          1210      EPC,FSI-00139,SMDcoil  47uH 10%          1210      EPC
IIV-00016,#SMDic MOSfet   SPB03N60C3  TO-263   INF,TIV-00061,SMDfet SPB11N60C3           TO-263   INF
FPA-00008,#SMDind    1uH  5%           1210    PAN,FBO-00031,SMDcoil   1uH 5% PM1210-1R0J-RC 1210 BOU
KS29-00009,#Elco    33uF   20V 20% R=1e         SUN,KPA-00219,verwijderen
CPN-00028,Boxheader 48P 3r mle 90ø   ITW,CFM-00165,Boxheader 48P 3r mle 90ø   FCI
FM8-00002,#SMDcoil   47nH 1%      SMD   MUL,FMU-00197,SMDcoil  47nH  2% 100mA     0603     MUR
TD2-00007,#SMDmosfet  ZVN4424ZTA   SOT-89     DIO,TS53-00004,SMDfet TN2425N8-G           SOT-89-3 SUP
WAP-00039,SMD   2K49  0.1%   0.1W 0603  15ppm  TE,WAP-00052,SMD   2K49  0.1% 0.063W 0603  10ppm  TE
